,eid,has_photometry
266,5cb65a9d-8258-4e38-982e-88a8020f3c76,True
267,a8c086c1-bfb7-4458-ab6e-d21dd963fb7c,True
268,3b5edc88-aadc-45fe-9588-9b24745d8f07,True
269,d62e7925-2a13-43af-8065-71a62daa5055,True
270,86340231-f7f6-4c26-9bab-12ebf9f74e07,True
271,f5f668a7-5443-40d0-bc6a-97c53084dfb8,True
272,6a9951bb-c05f-4318-a685-e637b9c180fc,True
273,06200cc3-af35-4ba5-84a3-ceeb96b2eb31,True
274,72928bb6-d21b-4542-9148-f2cd13c93bb4,True
275,d1cbdf9e-f3ae-4d64-8d3d-63c78d709f35,True
276,32cfa243-44e8-4372-9688-58f0479f6900,True
277,3c946c36-2eee-478e-8b16-f2b6272d4cf4,True
278,13a678cd-09db-47c0-8eb5-785cd19aa806,True
279,63c10527-7b82-40f3-bcf6-33a6f7cf7281,True
280,af08fc25-efc9-45e6-bd04-b541a97b0079,True
281,4f0f29d2-d903-4fce-85f2-4b3534b98071,True
282,25c059c6-4ca3-4bf1-921f-b654a5f85af1,True
283,0fa21655-bbb7-402a-93d7-603c9b190769,True
284,c5720956-6182-4574-95fa-b38bd87ce66f,True
285,9c10827e-cc9e-481d-af0b-80c7a679d9d5,True
286,99a774da-115e-40ba-8506-3c68d0361489,True
287,341851dc-160d-4ad1-a9b4-9122acb64b8d,True
288,b8b799cb-2610-4d3b-9c28-381c7617f39d,True
289,8f88f1b7-1184-4bf9-9342-25d322b3480c,True
290,18a0cc8a-36b4-450f-b665-4ea557ef5d3a,True
291,e286b2f3-9f69-4e72-b484-ae52e23fad7d,True
292,d26ce132-8355-41d7-8ede-21a16d0a1ce5,True
293,ee215ed8-b64e-40fc-8071-da6aafddb664,True
294,abee1514-b9ff-4648-9295-33211c41f407,True
295,628c8895-2f1b-4d1b-8727-b46dfe0d6c80,True
296,82054ad1-1d40-4be9-ba9f-40e69f9697ac,True
297,624c8a4e-1ba5-4988-8761-60ae93e8ccea,True
298,0be7bf12-f36c-4343-8e94-0ffa82c74801,True
299,52dc78e7-7970-459e-bfbc-a40c875e2aac,True
300,fef39af7-f414-4611-960b-b69acb3fb0b1,True
301,ee2821a8-1f5e-4733-9bad-1b773b989020,True
302,6e3b1082-e8cd-40c9-8faa-c0615e4a35cf,True
303,146b2be5-7440-4713-9eb3-b6dad7dfb822,True
304,b3d899be-2eb3-41e8-9e45-12287abd18c9,True
305,d1563d73-7196-4fd6-a425-96a9a6f3ab9f,True
306,0e9cadf9-8381-4335-99d8-88229b94c5bf,True
307,0cf7bf7c-2f3c-4bdc-b48d-955dcecab644,True
308,44ed5cb5-3063-4e90-8367-e612b46dc292,True
309,a8557c37-240e-4b4c-9a30-5356e346951b,True
310,32dbeea0-64c1-43b8-910e-8d4608fa1cd6,True
311,7ce7f660-5bac-43cf-8b8f-0a1b2d4e5bbe,True
312,8524792c-5f8a-4c3b-89dc-f6388cc1a3e7,True
313,4d7d5941-143a-40d3-b7c0-e37f8c1cb1a7,True
314,3460d7c5-38d6-42bc-8011-97bb06e73161,True
315,c0ad3dbf-e3d0-4d95-8e84-23e0621984a1,True
316,2e4c9517-722a-4451-8f44-af73ccde2dac,True
317,26fd2587-9517-433c-bee7-b6d581e4e8b7,True
318,394514af-4c58-42de-bd5b-8e1a05172b52,True
319,dc4b7809-3832-4deb-b2ff-862b1c7e2299,True
320,65b726ea-2fcf-44d3-ae18-ad407bb333ce,True
321,729dc7d2-dc01-4291-b913-8cc8130182eb,True
322,75aec35f-1765-4edf-adaf-067294dd3a7d,True
323,badb77ff-bc51-43ea-848d-2684ac2e9fe6,True
324,df0fb5b1-f0e7-4b99-8178-ef5490e9ef30,True
325,6eb0bfad-9ae7-4b9d-bbf6-d45b7f6bfc8a,True
326,cc15364c-c646-4e43-bfd9-0c4a47368ed3,True
327,4cd12789-3f26-4619-90fd-77120edf8b9c,True
328,4ed2e70f-fa03-4b3e-bea7-52124e778dae,True
329,ac96ec97-79e7-4fa7-966d-588155089580,True
330,b4f19879-9d83-4e6e-b9e6-a8a61b93d222,True
331,fba1d3cb-517f-4e60-b7f2-3b22d611f409,True
332,f5583a9a-5daf-485b-b4cb-1be1a1eab7fb,True
333,15a5552b-3f2a-4481-a3ab-4610b94e8a2f,True
334,6035899a-97b0-4c4e-8fe2-b0cad1f52a8a,True
335,ece524d0-25a7-4077-b38f-d4fbaa21c88e,True
336,e5e9efb2-b557-41df-918b-7acdabed11cc,True
337,66a16c26-465c-48f9-9c80-cc89229fff79,True
338,75021662-5e27-4ddc-ac12-316254ff5671,True
339,b6e6140a-35d9-4cb4-8fa2-c3fe5a6de8b1,True
340,31d39053-f24d-49e8-9fb1-52368641b074,True
341,7fa9edd2-f0c1-4240-9f3a-672938b8e9a0,True
342,1c93886a-6883-4b2f-95ee-824e7ddfba43,True
343,03c103ed-9ad1-439e-9fdb-f81186adedce,True
344,1c1ea1cb-489b-4640-a998-14c1ad20f508,True
345,cf718114-1275-4331-bf03-1cbece7b58ef,True
346,3fcb5845-173a-46a1-b6cf-b564f57befd4,True
347,b7c746c0-1c96-492f-b858-252df551da9a,True
348,056f9053-1cc6-40e9-a950-8b248e17fa2e,True
349,e2004bdf-4e1f-4fe7-8c72-88301afcc743,True
350,d65de215-7b2b-4d14-840b-ba0aefce2706,True
351,297e756f-dfa8-4cc3-a3dc-5a60d782bedd,True
352,4027cc92-19e5-4312-98a6-c43db0c23c91,True
353,53d184fc-43df-4b4f-8b87-2c08f5075eee,True
354,fc3deeb9-86f6-46ab-90e1-b20ee34fba33,True
355,e71eac05-0b2c-4f38-a75e-436ac09c222f,True
356,019dda5f-1bc7-4f55-b72d-6ca2128cf979,True
357,4dd449c6-e964-43fa-8bc5-706121716a33,True
358,b72d04c2-4ea9-4169-96de-814af421c6e1,True
359,f9a90493-8d4f-4d18-bd76-8222904ae56c,True
360,a491bcb5-5397-4124-9709-a0ce4e6a46c7,True
361,cd9f3fe6-57ba-46ea-8d11-29e1e73b759c,True
362,9c5b09fb-7a1b-4e12-97f7-4fca0778bc8e,True
363,ec892296-a5b9-4b42-aea1-c91546e9c382,True
364,c869ffd0-af79-49ba-86fe-7a07c850d552,True
365,3ee63d10-c9da-4594-b05a-566d54ace3f4,True
366,2fdd589c-3e15-4c16-86f8-bb67d12c4565,True
367,b8f104d6-1f17-4f64-a246-bb4bb50b2f99,True
368,f3ade21d-8af0-424d-8daf-bcf9f99523bf,True
369,699342d8-f240-48ae-b975-e5274aea9aca,True
370,672a738b-f1ed-4fb1-a184-220c08b06c24,True
371,fc567b9a-70b9-41f5-8cc0-d6bbd4f4d1c3,True
372,97fbebe0-a1e3-4244-aca1-6008f0b1bf89,True
373,bbf86d40-4d79-4973-b92e-a0ff422a766c,True
374,6964a6b0-330e-460b-bb89-e6ee67c3b65c,True
375,ccef5e8e-b4ad-4a2c-98b2-94caa068ff01,True
376,563b49a9-e2e1-46a7-888f-e363a935ac92,True
377,174a0663-2e6d-484b-864c-167d18d3f2fb,True
378,f020005e-a138-4f84-8d8d-da12a464e5a9,True
379,4fbee7a2-85c7-47bd-b5c6-d226bba3ae08,True
380,278accb3-85a9-42c8-82fe-4c65323a2e3c,True
381,dbc24c6c-685b-42d2-9707-ea484831bcb3,True
382,ccf9520b-f300-4af0-996f-b92a2ef8d5d5,True
383,993b8b06-9504-4d13-9d7b-6575ec4eb4ec,True
384,35f9250b-9797-4a42-be63-486bd0a3a833,True
385,826a20d8-efed-4537-99ee-1753c735e98d,True
386,05255b38-31d2-473d-9eda-7bc9ebd5c094,True
387,a7ed3268-8fe9-4294-a6e0-682506585b77,True
388,5d0a6c14-3a68-4f9f-aa66-7da3ac6685d5,True
389,f53d9606-49c5-482f-9a8d-30068575564b,True
390,a17c6d4c-b47d-4310-9a7d-850acccd1524,True
391,20663067-3868-45a0-8861-c4b9957ffa42,True
392,2956b1fa-c422-47a9-bcad-f69e93b60f1d,True
393,ffcfa75a-72f0-48e0-9ccf-66b84dc74188,True
394,cdb0a49f-b1cf-46de-94b9-308a8fd3fae5,True
395,58b00e32-8033-4325-a0e5-267a053de440,True
396,8b45d92d-c66f-4864-9ad5-cedd274d8eb3,True
397,60f064f1-d5b5-47af-8578-fafb84c94046,True
398,705fd869-5b10-42ac-bb5a-6247f6c36456,True
399,300447d9-2957-43a2-9b21-469a463cbe9a,True
400,44ddcae3-bb01-4bc2-bb81-c7ea78dd010f,True
401,7a867587-aba3-48da-ace9-3f4ac7082b6f,True
402,31a0394c-c6a7-4ecb-a5f2-f717bfdf24eb,True
403,33c23a64-8140-409e-99b3-f6083adde0ca,True
404,19533274-8330-4021-b617-cb75677e5675,True
405,97939dec-f894-47a1-8a70-7175938e7897,True
406,4a7c4b57-8279-4e39-83c5-7369dda98c37,True
407,efacce93-0cb2-4ab2-a292-895728d61a7a,True
408,487f5700-abad-4de3-af62-fd42b555633c,True
409,3169be89-4c5a-4660-aad6-e6e0ba82fa97,True
410,c5cbbce2-8a3f-4942-8d81-6b950fc19638,True
411,33337f04-5dbc-4537-8446-9bd9bae04023,True
412,0588d58f-7c08-4131-9403-1b6e886196b4,True
413,917d3d38-aa71-4edb-b3d6-351c4c46643b,True
414,baf9eb7b-e616-47d7-a747-4b161382e770,True
415,4ff773e9-32d0-4984-b5e2-faec4280d527,True
416,76a632ae-85f6-432d-b1f4-3fa65fcba266,True
417,f5d0c4b5-1f3b-408b-aa0a-7b945826f459,False
418,b6913f93-e7b1-4faf-ab4d-54261b0e31ea,True
419,0eafc0ce-7c14-4335-b19c-408df9eb9b1c,False
420,7f0370f2-6b47-4d68-840b-50b16c7ad1a1,True
421,a6fad759-59f1-4c69-b804-c37ab4619b7d,True
422,8211cb1b-9da9-4bc7-a969-fda0372db5c3,True
423,2e765f87-0ebd-4c58-a069-b971e2e87de6,True
424,1b0da8e1-6dc8-4bb5-8b98-90a5f639563c,True
425,95f42879-6eb9-4753-b23a-6caff336f0f5,True
426,99ed1574-682b-431d-a5a0-545c596790a3,True
427,c9b2ddb6-9c9c-4b83-8cf1-3bfa05104472,True
428,235528eb-2b2d-47d3-9cd3-6107f36fe521,True
429,56d057a7-d6bc-4b3b-b4a4-ff43870eb70b,True
430,371a2580-a499-4700-9523-73b04905b546,True
431,bc57c9b0-1c86-44c8-8f34-81aa4db29550,True
432,d390bd0b-0d4d-4751-b315-0440b285a5e0,True
433,fdfabd07-bb2c-4d8f-b0c1-cd9b81d53271,True
434,099e0050-b9e1-41d7-9f0f-882c7209d3c8,True
435,9088ede4-b94f-42d7-a486-9503fafe1e49,True
436,3fe85c21-ec7f-4eb4-8e20-47c1d2415238,True
437,2c011946-fde8-4476-b911-d29fea0ba2fd,True
438,5e50a2a8-7466-4a35-a1ce-69856e372f44,True
439,070918c2-eff5-417a-bfff-e4ff6fcf9de2,True
440,8b29ec8c-aaeb-42be-bb46-9489a3e86da3,True
441,49e40a17-8051-4510-b5f0-f4feb062e2a7,True
442,12acea6e-3a1d-4144-b9c6-af47b142cd73,True
443,dd655e94-6b7f-41dc-a7cb-a06920c293d4,True
444,6f5a8543-486d-432a-9446-a9da44b6c082,True
445,da5faa27-cf07-4e1e-83d1-e71031757789,True
446,868e91a6-8cdb-431f-8ae5-61383a820a15,True
447,e8455785-cacd-4947-b2b5-89e1e6e88930,True
